---,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.2,Analog In. | Ch.2,Analog In. | Ch.2,Analog Out. | Ch.1,Analog Out. | Ch.2,
Time(s),AIn-1 - Dem (AOut-1),AIn-1 - Dem (AOut-2),AIn-1 - Raw,AIn-2 - Dem (AOut-1),AIn-2 - Dem (AOut-2),AIn-2 - Raw,AOut-1,AOut-2,
0.086092,3.82206822,2.97466265,1.44306772,0.0173533582,0.0144570622,0.0243385113,1,1,
0.094295,3.8192171,2.97113445,2.19122898,0.0172828983,0.0142371471,0.0240333262,1,1,
0.102498,3.8174762,2.96795008,-3.21153905,0.017326423,0.0143835836,0.00190740684,1,1,
0.110701,3.81650421,2.96482644,-0.783104953,0.0174714705,0.0147291601,0.0165562914,1,1,
0.118904,3.81671797,2.96191763,4.43235572,0.0176790228,0.0151039808,0.0212103641,1,1,
0.127107,3.81663662,2.95950368,-1.79334391,0.0179120455,0.0154282686,0.0125888852,1,1,
0.13531,3.81587429,2.95825764,-3.56509598,0.0181519242,0.0156526871,-0.00915555284,1,1,
0.143514,3.81427706,2.95798179,4.3223365,0.0183783933,0.0157204456,0.041810358,1,1,
0.151717,3.8123158,2.95807095,2.0700705,0.0185285506,0.0156312569,0.0435651723,1,1,
0.15992,3.81134153,2.95805637,-3.60621967,0.0184630738,0.0154840658,-0.0135044404,1,1,
0.168123,3.81078087,2.95738212,1.27430036,0.0180659122,0.0153590322,0.0260933256,1,1,
0.176326,3.81050014,2.95622008,6.00817896,0.0174089817,0.0151809436,0.0511947996,1,1,
0.184529,3.80890545,2.95456885,-3.58844264,0.0168059627,0.0148685909,0.00846888638,1,1,
0.192733,3.80612108,2.95271598,-3.20535905,0.0165813672,0.0146249406,0.0168614765,1,1,
0.200936,3.8018282,2.95023678,7.14873196,0.0167880042,0.0147991905,0.047379986,1,1,
0.209139,3.79693054,2.94694389,-0.61159093,0.0172415857,0.0153922502,0.0280770287,1,1,
0.217342,3.79251214,2.94314593,-3.61651967,0.0177358858,0.0159948357,-0.000152592547,1,1,
0.225545,3.7883696,2.93917042,4.86236152,0.0181466527,0.0161749666,0.0463881344,1,1,
0.233748,3.78472318,2.93534373,4.6846675,0.018399065,0.0158006472,0.0398266549,1,1,
0.241951,3.78151167,2.93214189,-3.62018189,0.0184764426,0.0150414141,-0.00938444166,1,1,
0.250154,3.78005556,2.9303953,-0.180898465,0.0184085691,0.0141954841,0.0255592517,1,1,
0.258358,3.77970692,2.92981159,7.32123783,0.0182554961,0.0135596948,0.060502945,1,1,
0.266561,3.78039495,2.93036296,-3.52610858,0.0181391686,0.0133624276,0.00976592303,1,1,
0.274764,3.78169609,2.93201199,-3.5975219,0.0181834939,0.0136499873,-0.00541703543,1,1,
0.282967,3.78271222,2.93416486,7.31238746,0.0183168657,0.014251177,0.0495925779,1,1,
0.29117,3.78238749,2.93548831,1.2959685,0.0182458645,0.0149705572,0.0349436934,1,1,
0.299373,3.78045777,2.93534642,-3.62224189,0.0178171735,0.0156778629,-0.026474807,1,1,
0.307577,3.77813711,2.93429476,3.46972564,0.0172741672,0.0162190178,0.0282296213,1,1,
0.31578,3.77501831,2.93212004,5.90563677,0.0169845561,0.0164434658,0.039292581,1,1,
0.323983,3.77159155,2.92896717,-3.61201819,0.0170253265,0.0162885566,-0.0204474013,1,1,
0.332186,3.7676438,2.92491931,-1.85262612,0.0171701455,0.0157713281,0.00534073916,1,1,
0.340389,3.76380494,2.9203317,7.20236824,0.0172505979,0.0150671801,0.0482955412,1,1,
0.348592,3.75985799,2.91541521,-2.19145787,0.0173038535,0.0144410546,0.00320444349,1,1,
0.356795,3.75607848,2.91087087,-3.60301523,0.0173892058,0.0140231456,-0.0151066622,1,1,
0.364999,3.75309405,2.90750667,5.27558214,0.0174455216,0.0138150089,0.0417340617,1,1,
0.373202,3.75036849,2.90505154,2.34458449,0.0173649573,0.0138765196,0.0255592517,1,1,
0.381405,3.7482633,2.90335743,-3.6076693,0.0171379957,0.0142469566,-0.00633259072,1,1,
0.389608,3.74619476,2.90205214,1.16122929,0.0168890699,0.0147820012,0.0190740684,1,1,
0.397811,3.74467228,2.90100964,4.85480819,0.0168055682,0.0152534705,0.0278481399,1,1,
0.406014,3.74267942,2.89991457,-3.47216712,0.0169710586,0.015465837,-0.00930814539,1,1,
0.414218,3.74024885,2.89897044,-2.5103,0.0172456256,0.0152512138,0.0144199957,1,1,
0.422421,3.73744427,2.89814783,4.3242439,0.017375136,0.0146396497,0.0452436903,1,1,
0.430624,3.73433168,2.8969744,-0.0946836756,0.0172675022,0.0139822973,0.0211340678,1,1,
0.438827,3.73162587,2.89529183,-3.43447676,0.0170872906,0.0136731152,0.00442518387,1,1,
0.44703,3.72922213,2.89332726,1.881695,0.01700529,0.0137921125,0.0336466567,1,1,
0.455233,3.7285206,2.89188248,1.89138462,0.0170504659,0.0140050615,0.00717184973,1,1,
0.463436,3.72941088,2.89102159,-2.13881344,0.0171597224,0.0138322498,0.00930814539,1,1,
0.47164,3.73262442,2.89095928,-0.682622761,0.0172602098,0.0131853431,0.0325785089,1,1,
0.479843,3.73712617,2.89150718,1.80898465,0.0172810662,0.0125148726,0.0271614734,1,1,
0.488046,3.74164267,2.89221698,-0.0324259163,0.0172115688,0.0123867881,0.0198370312,1,1,
0.496249,3.74494782,2.89268764,-1.21562853,0.017166324,0.0129730248,0.0162511063,1,1,
0.504452,3.74596048,2.89278923,0.054094058,0.0172765007,0.0139463831,0.00740073855,1,1,
0.512655,3.74550607,2.89284761,0.867793817,0.0175006214,0.0147773972,0.0245674001,1,1,
0.520858,3.74309526,2.89278382,0.305566576,0.017660415,0.0151866381,0.017853328,1,1,
0.529062,3.73958959,2.89252675,-1.37325663,0.0177020306,0.0152754551,0.0143436995,1,1,
0.537265,3.7350391,2.89171456,-0.206839198,0.0177395034,0.0152456334,0.00137333293,1,1,
0.545468,3.73120256,2.89061547,2.23075045,0.0178703642,0.0151860382,0.0284585101,1,1,
0.553671,3.72934045,2.88992177,-0.982238227,0.0180139367,0.0151479288,0.0199896237,1,1,
0.561874,3.72926703,2.89014132,-2.35236671,0.0179708012,0.0151981867,0.0237281411,1,1,
0.570077,3.73041538,2.89092267,2.38647114,0.0176038001,0.0153666389,0.0190740684,1,1,
0.57828,3.73114389,2.89145986,1.7465743,0.0170123632,0.0155775699,0.0424970244,1,1,
0.586484,3.7315588,2.89159936,-3.53831599,0.0165195779,0.0156982712,0.00259407331,1,1,
0.594687,3.73068166,2.89121201,0.256813257,0.0163893693,0.0157206183,0.01617481,1,1,
0.60289,3.72938399,2.89064428,4.55923643,0.0166051321,0.0158245158,0.0313577685,1,1,
0.611093,3.72752327,2.89006192,-3.05940428,0.016950653,0.0160057667,0.0221259194,1,1,
0.619296,3.72694582,2.88986342,-3.2841731,0.0172825159,0.0159513606,0.000686666463,1,1,
0.627499,3.72805377,2.89008605,5.33455916,0.0176446832,0.0153710043,0.0494399854,1,1,
0.635702,3.73002429,2.89059234,0.5487228,0.0180355837,0.0143715496,0.0150303659,1,1,
0.643906,3.73258523,2.89138335,-3.60728782,0.0182225657,0.0134553575,0,1,1,
0.652109,3.7342054,2.89208795,3.02316355,0.0179432511,0.0131563836,0.0229651784,1,1,
0.660312,3.73509745,2.89275941,4.9466689,0.0172974076,0.0135864065,0.0376140629,1,1,
0.668515,3.73550488,2.89333684,-3.60820338,0.016738451,0.0144058007,-0.00625629444,1,1,
0.676718,3.73613873,2.89385919,-1.49357585,0.016665607,0.0151656126,0.0196844386,1,1,
0.684921,3.73597714,2.89349237,7.32154302,0.0170532123,0.0155604921,0.0488296152,1,1,
0.693125,3.73420241,2.89175313,-2.71011994,0.0174812108,0.0155653169,0.00679036836,1,1,
0.701328,3.73090361,2.88882262,-3.60660115,0.0175824212,0.0153513166,-0.000686666463,1,1,
0.709531,3.72538724,2.88477739,6.35525071,0.0173794907,0.0150765374,0.046540727,1,1,
0.717734,3.71806353,2.87979799,2.63046663,0.0171859654,0.014836884,0.0351725822,1,1,
0.725937,3.70964504,2.87435219,-3.62147893,0.0172711837,0.0147071237,0.00305185095,1,1,
0.73414,3.70201205,2.86963569,2.03222755,0.0175747398,0.0148155844,0.0416577654,1,1,
0.742343,3.69554571,2.86584795,6.74687948,0.017804268,0.0151498876,0.0576799829,1,1,
0.750547,3.69128561,2.8633003,-3.60408338,0.0177871408,0.0154670211,-0.00625629444,1,1,
0.75875,3.68961992,2.86230019,-3.07992798,0.0175542591,0.0155481666,0.0131229591,1,1,
0.766953,3.68985842,2.86272816,7.32146672,0.0172233525,0.0154743355,0.0530259102,1,1,
0.775156,3.69118417,2.86411064,-1.01664785,0.0169481485,0.0155475034,0.023422956,1,1,
0.783359,3.69314157,2.86599846,-3.61468856,0.0168897888,0.0159678091,-0.00801110874,1,1,
0.791562,3.69628749,2.86829954,5.00480667,0.0170330863,0.0166485411,0.0433362835,1,1,
0.799766,3.69953041,2.87009906,3.95870846,0.0171540511,0.0172915189,0.035401471,1,1,
0.807969,3.70280787,2.87136871,-3.61545152,0.0170844124,0.0176692302,-0.00679036836,1,1,
0.816172,3.70552403,2.87256461,0.267952513,0.0169448171,0.0177303303,0.0265511032,1,1,
0.824375,3.70779379,2.87383757,6.41224403,0.0169715874,0.0174420932,0.038758507,1,1,
0.832578,3.70909039,2.87456143,-3.41624195,0.0171891801,0.016805323,-0.0061037019,1,1,
0.840781,3.7090209,2.87444338,-3.49032563,0.0174277727,0.0160000025,-0.00991851558,1,1,
0.848984,3.70798656,2.87362747,5.68483535,0.0175714389,0.0153555418,0.0412762841,1,1,
0.857187,3.70561493,2.87178402,0.608615375,0.0176849601,0.0151212653,0.0143436995,1,1,
